,title,actor,year,rating
65,Far Cry,"Uwe Boll (dir.), Til Schweiger, Emmanuelle Vaugier",2008,3.7
66,Feardotcom,"William Malone (dir.), Stephen Dorff, Natascha McElhone",2002,3.8
67,3 Ninjas: High Noon at Mega Mountain,"Sean McNamara (dir.), Loni Anderson, Hulk Hogan",1998,3.8
68,Batman & Robin,"Joel Schumacher (dir.), Arnold Schwarzenegger, George Clooney",1997,3.8
69,Crossroads,"Tamra Davis (dir.), Britney Spears, Anson Mount",2002,3.8
70,Spice World,"Bob Spiers (dir.), Mel B, Emma Bunton",1997,3.8
71,Fifty Shades of Black,"Michael Tiddes (dir.), Marlon Wayans, Kali Hawk",2016,3.8
72,Die unendliche Geschichte III: Rettung aus Phantasien,"Peter MacDonald (dir.), Jason James Richter, Melody Kay",1994,3.8
73,Spy Kids 4: All the Time in the World,"Robert Rodriguez (dir.), Jessica Alba, Jeremy Piven",2011,3.8
74,Jaws 3-D,"Joe Alves (dir.), Dennis Quaid, Bess Armstrong",1983,3.8
75,Superman IV: The Quest for Peace,"Sidney J. Furie (dir.), Christopher Reeve, Gene Hackman",1987,3.8
76,Captain America,"Albert Pyun (dir.), Matt Salinger, Ronny Cox",1990,3.8
77,The Wicker Man,"Neil LaBute (dir.), Nicolas Cage, Ellen Burstyn",2006,3.9
78,Smolensk,"Antoni Krauze (dir.), Beata Fido, Maciej Póltorak",2016,3.9
79,The Fog,"Rupert Wainwright (dir.), Tom Welling, Maggie Grace",2005,3.9
80,Dungeons & Dragons,"Courtney Solomon (dir.), Justin Whalin, Jeremy Irons",2000,3.9
81,Mac and Me,"Stewart Raffill (dir.), Christine Ebersole, Jonathan Ward",1988,3.9
82,The Adventures of Sharkboy and Lavagirl 3-D,"Robert Rodriguez (dir.), Cayden Boyd, George Lopez",2005,3.9
83,Black Christmas,"Sophia Takal (dir.), Imogen Poots, Aleyse Shannon",2019,3.9
84,D-War,"Hyung-rae Shim (dir.), Jason Behr, Amanda Brooks",2007,3.9
85,Baaghi 3,"Ahmed Khan (dir.), Tiger Shroff, Riteish Deshmukh",2020,3.9
86,Bucky Larson: Born to Be a Star,"Tom Brady (dir.), Nick Swardson, Don Johnson",2011,3.9
87,I Know Who Killed Me,"Chris Sivertson (dir.), Lindsay Lohan, Julia Ormond",2007,3.9
88,Piranha 3DD,"John Gulager (dir.), Danielle Panabaker, Ving Rhames",2012,3.9
89,The Love Guru,"Marco Schnabel (dir.), Mike Myers, Jessica Alba",2008,3.9
90,In the Name of the King: A Dungeon Siege Tale,"Uwe Boll (dir.), Jason Statham, Ron Perlman",2007,3.9
91,The Flintstones in Viva Rock Vegas,"Brian Levant (dir.), Mark Addy, Stephen Baldwin",2000,4.0
92,The Avengers,"Jeremiah S. Chechik (dir.), Ralph Fiennes, Uma Thurman",1998,4.0
93,The Hungover Games,"Josh Stolberg (dir.), Ross Nathan, Sam Pancake",2014,4.0
94,Street Fighter: The Legend of Chun-Li,"Andrzej Bartkowiak (dir.), Kristin Kreuk, Neal McDonough",2009,4.0
95,Stan Helsing,"Bo Zenga (dir.), Steve Howey, Diora Baird",2009,4.0
96,The Human Centipede II (Full Sequence),"Tom Six (dir.), Laurence R. Harvey, Ashlynn Yennie",2011,4.0
97,Speed 2: Cruise Control,"Jan de Bont (dir.), Sandra Bullock, Jason Patric",1997,4.0
98,Ballistic: Ecks vs. Sever,"Wych Kaosayananda (dir.), Antonio Banderas, Lucy Liu",2002,4.0
99,2001: A Space Travesty,"Allan A. Goldstein (dir.), Leslie Nielsen, Ophélie Winter",2000,4.0
