,title,actor,year,rating
65,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",2020,8.3
66,Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",1952,8.3
67,Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",1997,8.3
68,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",2000,8.3
69,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",2010,8.3
70,Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",1983,8.3
71,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",1962,8.3
72,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",1968,8.3
73,Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",2004,8.3
74,Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",1944,8.3
75,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",1941,8.3
76,Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",1992,8.3
77,The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",1960,8.3
78,North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",1959,8.3
79,Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",1958,8.3
80,A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",1971,8.3
81,The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",1973,8.3
82,To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",1962,8.3
83,Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",1983,8.3
84,Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",1987,8.3
85,Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",1961,8.2
86,Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",1995,8.2
87,The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",1921,8.2
88,Up,"Pete Docter (dir.), Edward Asner, Jordan Nagai",2009,8.2
89,Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",2000,8.2
90,L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",1997,8.2
91,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",1976,8.2
92,Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman",1988,8.2
93,Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",1989,8.2
94,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",2019,8.2
95,All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",1950,8.2
96,The Father,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",2020,8.2
97,Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",1959,8.2
