,title,actor,year,rating
64,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",1986,8.3
65,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",1999,8.3
66,Spider-Man: Into the Spider-Verse,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",2018,8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",1964,8.3
68,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",2012,8.3
69,Oldeuboi,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",2003,8.3
70,Joker,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",2019,8.3
71,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",1984,8.3
72,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",1995,8.3
73,Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",2009,8.3
74,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",1995,8.3
75,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",2017,8.3
76,Das Boot,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",1981,8.3
77,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",2022,8.3
78,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",2019,8.3
79,Mononoke-hime,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",1997,8.3
80,Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",1984,8.3
81,Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",1997,8.3
82,Kimi no na wa.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",2016,8.3
83,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",2000,8.3
84,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",2010,8.3
85,Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",1952,8.3
86,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",2009,8.3
87,Tengoku to jigoku,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",1963,8.3
88,Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",1983,8.3
89,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",1968,8.3
90,Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",2004,8.3
91,Capharnaüm,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",2018,8.3
92,Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",1992,8.3
93,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",2012,8.3
94,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",1941,8.3
95,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",1962,8.3
96,M - Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",1931,8.3
97,Idi i smotri,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",1985,8.3
98,North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",1959,8.2
99,Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",1958,8.2
100,Le fabuleux destin d'Amélie Poulain,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",2001,8.2
101,A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",1971,8.2
102,The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",1960,8.2
103,Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",1944,8.2
104,Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",1987,8.2
105,Ikiru,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",1952,8.2
106,Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",1983,8.2
107,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",2020,8.2
108,The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",1973,8.2
109,To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",1962,8.2
110,Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",1995,8.2
111,Up,"Pete Docter (dir.), Edward Asner, Jordan Nagai",2009,8.2
112,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",1976,8.2
113,Incendies,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",2010,8.2
114,Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",1927,8.2
115,Jodaeiye Nader az Simin,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",2011,8.2
116,L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",1997,8.2
117,Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",2000,8.2
118,Ladri di biciclette,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",1948,8.2
119,Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman",1988,8.2
120,Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",1989,8.2
121,Taare Zameen Par,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",2007,8.2
122,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",2019,8.2
123,Der Untergang,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",2004,8.2
124,Per qualche dollaro in più,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",1965,8.2
125,Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",2005,8.2
126,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",2016,8.2
127,The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",1921,8.2
128,Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",1959,8.2
129,All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",1950,8.2
130,The Father,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",2020,8.2
131,Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",2018,8.2
132,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",2013,8.2
133,Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",1961,8.2
134,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",1985,8.2
135,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",1995,8.2
136,Pan's Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",2006,8.2
137,Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",1992,8.2
138,There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",2007,8.2
139,The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",1998,8.2
140,Spider-Man: No Way Home,"Jon Watts (dir.), Tom Holland, Zendaya",2021,8.2
141,The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",1999,8.2
142,A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",2001,8.2
143,Yôjinbô,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",1961,8.1
144,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",1975,8.1
145,The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",1948,8.1
146,Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",2010,8.1
147,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",1993,8.1
148,Rashômon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",1950,8.1
149,The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",1963,8.1
150,Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",2003,8.1
151,No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",2007,8.1
152,Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",2003,8.1
153,The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",1980,8.1
154,The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",1982,8.1
155,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",1974,8.1
156,Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",1980,8.1
157,Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",1939,8.1
158,V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",2005,8.1
159,Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader",2015,8.1
160,"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",1998,8.1
161,Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",1954,8.1
162,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",2009,8.1
163,Hauru no ugoku shiro,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",2004,8.1
164,The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness",1957,8.1
165,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",2017,8.1
166,Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",1996,8.1
167,Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",2011,8.1
168,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",2008,8.1
169,Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand",1996,8.1
170,Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",2013,8.1
171,Tonari no Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",1988,8.1
172,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",2004,8.1
173,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",2002,8.1
174,The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",1925,8.1
175,Children of Heaven,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",1997,8.1
176,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",1982,8.1
177,On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden",1954,8.1
178,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",2013,8.1
179,Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",1995,8.1
180,The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten",1949,8.1
181,Smultronstället,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",1957,8.1
182,Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",2011,8.1
183,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",1959,8.1
184,Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike",2014,8.1
185,The General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",1926,8.1
186,The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",1978,8.1
187,The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",2014,8.1
188,In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",1993,8.1
